t_pc_ns,frame_id,sensor_id,accX,accY,accZ,magX,magY,magZ
1637732659802100,133159,4,-0.072265625,-0.40625,0.931640625,273.6000061035156,-291.75,1529.9239501953125
1637732659802100,133159,5,-0.04296875,-0.5,0.865234375,51.750003814697266,102.9000015258789,3408.327880859375
1637732731081500,133160,0,0.005859375,-0.00390625,1.0078125,-25.950000762939453,-46.95000076293945,596.77197265625
1637732731081500,133160,1,-0.017578125,0.810546875,0.52734375,142.8000030517578,-8.700000762939453,82.03800201416016
1637732731081500,133160,2,-0.056640625,0.78515625,0.625,229.0500030517578,-131.40000915527344,520.2999877929688
1637732731081500,133160,3,-0.078125,-0.041015625,1.021484375,-390.1500244140625,93.45000457763672,-811.66796875
1637732731081500,133160,4,-0.068359375,-0.33984375,0.9375,264.1500244140625,-292.20001220703125,1519.033935546875
1637732731081500,133160,5,-0.12109375,-0.45703125,0.912109375,56.70000076293945,103.6500015258789,3415.830078125
1637732803495600,133161,0,0.01171875,-0.013671875,1.0078125,-33.150001525878906,-39.75,600.1599731445312
1637732803495600,133161,1,-0.017578125,0.80078125,0.541015625,148.8000030517578,-5.400000095367432,72.84200286865234
1637732803495600,133161,2,0.00390625,0.794921875,0.580078125,233.40000915527344,-128.40000915527344,515.4600219726562
1637732803495600,133161,3,-0.03515625,-0.03515625,0.990234375,-382.95001220703125,90.30000305175781,-815.0559692382812
1637732803495600,133161,4,-0.060546875,-0.357421875,0.919921875,264.0,-299.8500061035156,1524.115966796875
1637732803495600,133161,5,-0.11328125,-0.47265625,0.88671875,50.400001525878906,104.55000305175781,3411.9580078125
1637732875223000,133162,0,0.009765625,-0.001953125,1.009765625,-29.700000762939453,-44.25,605.2420043945312
1637732875223000,133162,1,-0.025390625,0.822265625,0.51953125,155.40000915527344,-2.700000047683716,87.84600067138672
1637732875223000,133162,2,-0.009765625,0.822265625,0.56640625,228.3000030517578,-126.00000762939453,520.2999877929688
1637732875223000,133162,3,-0.021484375,0.01953125,1.015625,-389.8500061035156,85.95000457763672,-819.4119873046875
1637732875223000,133162,4,-0.03125,-0.2890625,0.98046875,265.6500244140625,-299.25,1524.3580322265625
1637732875223000,133162,5,0.013671875,-0.4609375,0.990234375,51.150001525878906,104.85000610351562,3412.199951171875
1637732946751100,133163,0,0.005859375,-0.001953125,1.001953125,-31.80000114440918,-50.250003814697266,601.1279907226562
1637732946751100,133163,1,-0.013671875,0.822265625,0.51953125,155.5500030517578,-5.550000190734863,78.40799713134766
1637732946751100,133163,2,0.0078125,0.853515625,0.537109375,226.65000915527344,-122.55000305175781,518.1220092773438
1637732946751100,133163,3,-0.0234375,0.017578125,1.00390625,-371.70001220703125,86.85000610351562,-809.489990234375
1637732946751100,133163,4,-0.07421875,-0.19921875,0.966796875,236.25001525878906,-297.1500244140625,1520.4859619140625
1637732946751100,133163,5,-0.08984375,-0.291015625,1.013671875,61.500003814697266,108.30000305175781,3410.989990234375
1637733019613200,133164,0,0.005859375,-0.017578125,1.009765625,-38.25,-47.400001525878906,595.0780029296875
1637733019613200,133164,1,-0.025390625,0.8203125,0.53515625,165.90000915527344,-6.600000381469727,54.933998107910156
1637733019613200,133164,2,-0.037109375,1.013671875,0.60546875,220.50001525878906,-129.60000610351562,528.2860107421875
1637733019613200,133164,3,0.09765625,-0.052734375,0.865234375,-339.6000061035156,83.25,-801.2620239257812
1637733019613200,133164,4,0.01171875,-0.06640625,0.7109375,189.45001220703125,-306.1500244140625,1532.5859375
1637733019613200,133164,5,0.033203125,-0.419921875,0.99609375,61.650001525878906,112.6500015258789,3398.889892578125
1637733091237500,133165,0,0.0078125,-0.0078125,1.0078125,-33.30000305175781,-45.0,589.27001953125
1637733091237500,133165,1,-0.017578125,0.814453125,0.517578125,153.45001220703125,-8.25,57.354000091552734
1637733091237500,133165,2,0.013671875,0.921875,0.5078125,220.0500030517578,-128.10000610351562,529.0120239257812
1637733091237500,133165,3,-0.029296875,0.185546875,1.099609375,-331.6500244140625,89.70000457763672,-786.5
1637733091237500,133165,4,-0.05078125,0.048828125,1.041015625,119.4000015258789,-296.4000244140625,1543.4759521484375
1637733091237500,133165,5,-0.017578125,0.099609375,0.990234375,67.95000457763672,108.1500015258789,3402.761962890625
1637733163040400,133166,0,0.001953125,-0.005859375,1.009765625,-33.60000228881836,-43.5,601.3699951171875
1637733163040400,133166,1,-0.0234375,0.814453125,0.517578125,157.5,-4.800000190734863,57.11199951171875
1637733163040400,133166,2,-0.025390625,0.841796875,0.443359375,206.85000610351562,-134.10000610351562,534.8200073242188
1637733163040400,133166,3,-0.111328125,0.177734375,1.02734375,-334.95001220703125,92.25,-799.3259887695312
1637733163040400,133166,4,-0.087890625,0.099609375,1.095703125,118.20000457763672,-302.70001220703125,1533.7960205078125
1637733163040400,133166,5,-0.140625,0.001953125,1.06640625,62.70000076293945,105.30000305175781,3410.263916015625
1637733235180000,133167,0,0.009765625,-0.00390625,1.009765625,-31.80000114440918,-48.45000076293945,608.3880004882812
1637733235180000,133167,1,-0.025390625,0.81640625,0.515625,170.40000915527344,-4.650000095367432,60.5
1637733235180000,133167,2,-0.02734375,0.912109375,0.4375,202.8000030517578,-121.05000305175781,543.2899780273438
1637733235180000,133167,3,-0.029296875,0.24609375,1.046875,-317.5500183105469,78.0,-800.7780151367188
1637733235180000,133167,4,-0.044921875,0.0625,1.076171875,108.45000457763672,-298.20001220703125,1535.9739990234375
1637733235180000,133167,5,-0.119140625,-0.05859375,1.02734375,52.05000305175781,107.10000610351562,3404.2138671875
1637733307560400,133168,0,0.00390625,-0.005859375,1.01171875,-36.150001525878906,-50.55000305175781,603.3059692382812
1637733307560400,133168,1,-0.03125,0.810546875,0.529296875,160.5,-8.25,73.56800079345703
1637733307560400,133168,2,-0.029296875,0.876953125,0.419921875,193.0500030517578,-132.0,549.0980224609375
1637733307560400,133168,3,-0.05078125,0.1484375,0.955078125,-300.1500244140625,83.10000610351562,-803.6820068359375
1637733307560400,133168,4,-0.072265625,0.0546875,0.966796875,88.05000305175781,-291.6000061035156,1537.426025390625
1637733307560400,133168,5,-0.083984375,0.0,0.96875,64.35000610351562,102.9000015258789,3414.862060546875
1637733378916200,133169,0,0.00390625,-0.005859375,1.0078125,-36.30000305175781,-44.55000305175781,599.91796875
1637733378916200,133169,1,-0.021484375,0.806640625,0.53125,165.90000915527344,-11.700000762939453,56.869998931884766
1637733378916200,133169,2,-0.021484375,0.939453125,0.396484375,187.20001220703125,-118.05000305175781,554.1799926757812
1637733378916200,133169,3,-0.0234375,0.275390625,1.037109375,-298.3500061035156,88.95000457763672,-797.1480102539062
1637733378916200,133169,4,-0.044921875,0.17578125,1.068359375,65.70000457763672,-295.3500061035156,1536.2159423828125
1637733378916200,133169,5,-0.01953125,0.1171875,1.044921875,62.70000076293945,108.9000015258789,3408.81201171875
1637733451000500,133170,0,0.0,-0.005859375,1.005859375,-37.95000076293945,-41.85000228881836,595.3200073242188
1637733451000500,133170,1,-0.029296875,0.814453125,0.51953125,160.8000030517578,-2.5500001907348633,57.354000091552734
1637733451000500,133170,2,-0.009765625,0.912109375,0.37109375,181.0500030517578,-124.20000457763672,558.5360107421875
1637733451000500,133170,3,-0.033203125,0.251953125,0.970703125,-289.95001220703125,88.05000305175781,-800.052001953125
1637733451000500,133170,4,-0.072265625,0.216796875,1.033203125,-18.450000762939453,-285.75,1544.4439697265625
1637733451000500,133170,5,-0.08203125,0.201171875,1.03515625,137.25,103.95000457763672,3400.825927734375
1637733523268200,133171,0,0.005859375,-0.005859375,1.01171875,-29.700000762939453,-44.400001525878906,600.6439819335938
1637733523268200,133171,1,-0.017578125,0.814453125,0.515625,160.5,-3.3000001907348633,62.194000244140625
1637733523268200,133171,2,0.0,0.939453125,0.35546875,178.65000915527344,-124.35000610351562,553.4539794921875
1637733523268200,133171,3,0.015625,0.2421875,0.966796875,-292.8000183105469,83.70000457763672,-797.1480102539062
1637733523268200,133171,4,0.009765625,0.20703125,1.0078125,-29.250001907348633,-295.95001220703125,1542.991943359375
1637733523268200,133171,5,0.02734375,0.24609375,1.013671875,142.35000610351562,102.45000457763672,3400.825927734375
1637733595526200,133172,0,0.0,-0.00390625,1.005859375,-34.80000305175781,-50.400001525878906,601.1279907226562
1637733595526200,133172,1,-0.025390625,0.806640625,0.521484375,166.8000030517578,-7.350000381469727,61.95199966430664
1637733595526200,133172,2,-0.02734375,0.931640625,0.359375,178.8000030517578,-121.35000610351562,548.1300048828125
1637733595526200,133172,3,-0.06640625,0.27734375,0.99609375,-300.6000061035156,87.60000610351562,-791.823974609375
1637733595526200,133172,4,-0.087890625,0.203125,1.017578125,-25.200000762939453,-292.0500183105469,1549.283935546875
1637733595526200,133172,5,-0.06640625,0.1484375,0.998046875,136.0500030517578,99.1500015258789,3399.615966796875
1637733666789400,133173,0,0.001953125,-0.00390625,1.00390625,-34.35000228881836,-46.05000305175781,606.4520263671875
1637733666789400,133173,1,-0.025390625,0.818359375,0.517578125,169.0500030517578,-4.050000190734863,65.33999633789062
1637733666789400,133173,2,-0.005859375,0.94140625,0.353515625,182.25,-126.30000305175781,558.7780151367188
1637733666789400,133173,3,-0.03125,0.291015625,1.015625,-298.20001220703125,81.1500015258789,-799.5679931640625
1637733666789400,133173,4,-0.0390625,0.181640625,1.03515625,-17.400001525878906,-289.0500183105469,1542.5079345703125
1637733666789400,133173,5,-0.060546875,0.115234375,1.005859375,137.10000610351562,107.25000762939453,3404.93994140625
1637733739463100,133174,0,-0.001953125,-0.001953125,1.00390625,-37.35000228881836,-53.10000228881836,606.6939697265625
1637733739463100,133174,1,-0.029296875,0.818359375,0.5234375,163.8000030517578,-7.650000095367432,64.85600280761719
1637733739463100,133174,2,-0.033203125,0.923828125,0.365234375,177.60000610351562,-123.1500015258789,556.3579711914062
1637733739463100,133174,3,-0.07421875,0.25390625,0.98828125,-299.25,85.5,-798.8419799804688
1637733739463100,133174,4,-0.103515625,0.158203125,1.01953125,-22.5,-290.70001220703125,1539.60400390625
1637733739463100,133174,5,-0.107421875,0.125,1.005859375,136.8000030517578,102.00000762939453,3401.7939453125
1637733811477100,133175,0,0.00390625,-0.0078125,1.009765625,-37.95000076293945,-59.400001525878906,603.5479736328125
1637733811477100,133175,1,-0.021484375,0.81640625,0.5234375,167.10000610351562,-5.550000190734863,65.8239974975586
1637733811477100,133175,2,-0.0078125,0.931640625,0.37109375,180.0,-121.05000305175781,551.2760009765625
1637733811477100,133175,3,-0.005859375,0.248046875,0.9921875,-307.5,84.9000015258789,-797.1480102539062
1637733811477100,133175,4,-0.0390625,0.162109375,1.01171875,-17.400001525878906,-292.95001220703125,1543.718017578125
1637733811477100,133175,5,-0.05859375,0.130859375,1.005859375,136.35000610351562,100.50000762939453,3405.424072265625
