t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ
430986521488400,5,-0.0234,0.8555,-0.4453,65.10,73.80,3474.88
430986534433200,0,0.0117,-0.0020,1.0039,-13.35,-43.05,474.32
430986547458300,1,-0.0156,0.7988,0.5449,139.35,6.15,-279.51
430986560525400,2,-0.0195,0.9395,-0.3008,-192.60,-126.45,479.40
430986573452300,3,-0.0352,0.8145,-0.5332,49.20,19.20,-792.55
430986586465700,4,-0.0352,0.8613,-0.5000,-46.95,-321.00,1615.83
430986599442100,5,-0.0312,0.8555,-0.4434,76.05,74.25,3466.41
430986612442600,0,0.0117,-0.0039,1.0078,-13.20,-44.85,467.79
430986625450700,1,-0.0195,0.7969,0.5430,136.65,4.50,-272.01
430986638546400,2,-0.0176,0.9434,-0.2988,-197.85,-131.70,475.77
430986651499500,3,-0.0312,0.8145,-0.5273,55.65,14.10,-792.79
430986664490300,4,-0.0332,0.8633,-0.5020,-42.90,-316.80,1607.85
430986677469700,5,-0.0254,0.8574,-0.4414,72.30,75.45,3478.27
430986690451300,0,0.0098,0.0000,1.0020,-13.50,-45.00,469.00
430986703464200,1,-0.0215,0.8027,0.5410,132.75,12.45,-281.93
430986716493300,2,-0.0215,0.9434,-0.2988,-201.90,-130.80,481.10
430986729515000,3,-0.0293,0.8164,-0.5273,51.90,19.65,-794.00
430986742547200,4,-0.0332,0.8633,-0.4980,-43.05,-319.80,1622.13
430986755507500,5,-0.0254,0.8535,-0.4395,73.35,77.70,3471.25
430986768505900,0,0.0098,0.0000,1.0039,-11.70,-43.50,471.17
